ISIN,TRADE_CODE,dt,value,currency
RU000A0JP7J7,PIKK,2020-10-12,22.71,RUB
RU000A0JP7J7,PIKK,2021-05-17,22.51,RUB
RU000A0JNAA8,PLZL,2017-07-17,152.41,RUB
RU000A0JNAA8,PLZL,2017-09-25,104.3,RUB
RU000A0JNAA8,PLZL,2018-06-10,147.12,RUB
RU000A0JNAA8,PLZL,2018-10-18,131.11,RUB
RU000A0JNAA8,PLZL,2019-05-16,143.62,RUB
RU000A0JNAA8,PLZL,2019-10-10,162.98,RUB
RU000A0JNAA8,PLZL,2020-08-28,244.75,RUB
RU000A0JNAA8,PLZL,2020-10-20,240.18,RUB
RU000A0JNAA8,PLZL,2021-06-07,387.15,RUB
RU000A0JNAA8,PLZL,2021-10-11,267.48,RUB
RU000A0JNAA8,PLZL,2023-06-16,436.79,RUB
RU0008943394,RTKM,2014-07-14,3.12,RUB
RU0008943394,RTKM,2015-07-03,3.34,RUB
RU0008943394,RTKM,2016-07-08,5.92,RUB
RU0008943394,RTKM,2017-07-07,5.39,RUB
RU0008943394,RTKM,2018-07-08,5.045825249373,RUB
RU0008943394,RTKM,2019-01-13,2.5,RUB
RU0008943394,RTKM,2019-07-04,2.5,RUB
RU0008943394,RTKM,2020-08-21,5.0,RUB
RU0008943394,RTKM,2021-07-12,5.0,RUB
RU0008943394,RTKM,2022-07-20,4.56,RUB
RU0008943394,RTKM,2023-12-01,5.4465,RUB
RU0009046700,RTKMP,2014-07-14,4.85,RUB
RU0009046700,RTKMP,2015-07-03,4.05,RUB
RU0009046700,RTKMP,2016-07-08,5.92,RUB
RU0009046700,RTKMP,2017-07-07,5.39,RUB
RU0009046700,RTKMP,2018-07-08,5.045825249373,RUB
RU0009046700,RTKMP,2019-01-13,2.5,RUB
RU0009046700,RTKMP,2019-07-04,2.5,RUB
RU0009046700,RTKMP,2020-08-21,5.0,RUB
RU0009046700,RTKMP,2021-07-12,5.0,RUB
RU0009046700,RTKMP,2022-07-20,4.56,RUB
RU0009046700,RTKMP,2023-12-01,5.4465,RUB
RU0009029540,SBER,2019-06-13,16.0,RUB
RU0009029540,SBER,2020-10-05,18.7,RUB
RU0009029540,SBER,2021-05-12,18.7,RUB
RU0009029540,SBER,2023-05-11,25.0,RUB
RU0009029540,SBER,2024-07-11,33.3,RUB
RU0009029540,SBER,2014-06-17,3.2,RUB
RU0009029540,SBER,2015-06-15,0.45,RUB
RU0009029540,SBER,2016-06-14,1.97,RUB
RU0009029540,SBER,2017-06-14,6.0,RUB
RU0009029540,SBER,2018-06-26,12.0,RUB
RU0009029557,SBERP,2019-06-13,16.0,RUB
RU0009029557,SBERP,2020-10-05,18.7,RUB
RU0009029557,SBERP,2021-05-12,18.7,RUB
RU0009029557,SBERP,2023-05-11,25.0,RUB
RU0009029557,SBERP,2024-07-11,33.3,RUB
RU0009029557,SBERP,2014-06-17,3.2,RUB
RU0009029557,SBERP,2015-06-15,0.45,RUB
RU0009029557,SBERP,2016-06-14,1.97,RUB
RU0009029557,SBERP,2017-06-14,6.0,RUB
RU0009029557,SBERP,2018-06-26,12.0,RUB
RU0009046510,CHMF,2013-08-12,2.03,RUB
RU0009046510,CHMF,2013-10-31,2.01,RUB
RU0009046510,CHMF,2014-06-23,2.43,RUB
RU0009046510,CHMF,2014-09-22,2.14,RUB
RU0009046510,CHMF,2014-11-25,54.46,RUB
RU0009046510,CHMF,2015-06-05,12.81,RUB
RU0009046510,CHMF,2015-09-28,12.63,RUB
RU0009046510,CHMF,2015-12-21,13.17,RUB
RU0009046510,CHMF,2016-07-05,8.25,RUB
RU0009046510,CHMF,2016-09-02,19.66,RUB
RU0009046510,CHMF,2016-09-16,19.66,RUB
RU0009046510,CHMF,2016-12-13,24.96,RUB
RU0009046510,CHMF,2017-06-20,24.44,RUB
RU0009046510,CHMF,2017-09-26,22.28,RUB
RU0009046510,CHMF,2017-12-05,35.61,RUB
RU0009046510,CHMF,2018-06-19,38.32,RUB
RU0009046510,CHMF,2018-09-25,45.94,RUB
RU0009046510,CHMF,2018-12-04,44.39,RUB
RU0009046510,CHMF,2019-05-07,32.08,RUB
RU0009046510,CHMF,2019-06-18,35.43,RUB
RU0009046510,CHMF,2019-09-17,26.72,RUB
RU0009046510,CHMF,2019-12-03,27.47,RUB
RU0009046510,CHMF,2020-06-16,26.26,RUB
RU0009046510,CHMF,2020-09-08,15.44,RUB
RU0009046510,CHMF,2020-12-08,37.34,RUB
RU0009046510,CHMF,2021-06-01,36.27,RUB
RU0009046510,CHMF,2021-09-02,84.45,RUB
RU0009046510,CHMF,2021-12-14,85.93,RUB
RU0009046510,CHMF,2022-05-31,109.81,RUB
RU0009046510,CHMF,2024-06-18,191.51,RUB
RU000A0JNUD0,TGKA,2015-07-10,0.0,RUB
RU000A0JNUD0,TGKA,2016-07-07,0.0,RUB
RU000A0JNUD0,TGKA,2017-07-07,0.0,RUB
RU0009091573,TRNFP,2018-07-10,7578.27,RUB
RU0009091573,TRNFP,2019-07-20,10705.95,RUB
RU0009091573,TRNFP,2020-10-20,11612.2,RUB
RU0009091573,TRNFP,2021-07-19,9224.28,RUB
RU0009091573,TRNFP,2022-07-20,10497.36,RUB
RU0009091573,TRNFP,2023-07-20,16665.2,RUB
RU0009091573,TRNFP,2111-01-01,177.2,RUB
RU0009091573,TRNFP,2014-07-20,724.21,RUB
RU0009091573,TRNFP,2015-07-20,757.87,RUB
RU0009091573,TRNFP,2016-07-20,823.31,RUB
RU0009091573,TRNFP,2017-07-20,4296.48,RUB
RU0009091573,TRNFP,2017-09-19,3875.49,RUB
RU000A0JPKH7,HYDR,2014-07-08,0.01,RUB
RU000A0JPKH7,HYDR,2015-07-07,0.02,RUB
RU000A0JPKH7,HYDR,2016-07-08,0.04,RUB
RU000A0JPKH7,HYDR,2017-07-10,0.05,RUB
RU000A0JPKH7,HYDR,2018-07-07,0.0263335,RUB
RU000A0JPKH7,HYDR,2019-07-09,0.0367388,RUB
RU000A0JPKH7,HYDR,2020-10-10,0.03568039,RUB
RU000A0JPKH7,HYDR,2021-07-10,0.0530482,RUB
RU000A0JPKH7,HYDR,2022-07-10,0.05304937,RUB
RU000A0JPKH7,HYDR,2023-07-11,0.050254795,RUB
RU000A0JPNN9,FEES,2014-07-16,0.0,RUB
RU000A0JPNN9,FEES,2015-07-16,0.0,RUB
RU000A0JPNN9,FEES,2016-07-11,0.01,RUB
RU000A0JPNN9,FEES,2017-07-19,0.0,RUB
RU000A0JPNN9,FEES,2018-07-18,0.014815395834,RUB
RU000A0JPNN9,FEES,2019-07-16,0.016042926012,RUB
RU000A0JPNN9,FEES,2020-01-13,0.00880960765,RUB
RU000A0JPNN9,FEES,2020-05-29,0.009494338212,RUB
RU000A0JPNN9,FEES,2021-07-16,0.016132865449,RUB
RU000A0JRKT8,PHOR,2013-09-06,15.45,RUB
RU000A0JRKT8,PHOR,2014-06-24,19.3,RUB
RU000A0JRKT8,PHOR,2014-09-29,25.0,RUB
RU000A0JRKT8,PHOR,2015-01-11,20.0,RUB
RU000A0JRKT8,PHOR,2015-05-27,48.0,RUB
RU000A0JRKT8,PHOR,2015-06-19,15.0,RUB
RU000A0JRKT8,PHOR,2015-10-17,57.0,RUB
RU000A0JRKT8,PHOR,2016-01-26,63.0,RUB
RU000A0JRKT8,PHOR,2016-06-11,57.0,RUB
RU000A0JRKT8,PHOR,2016-08-10,63.0,RUB
RU000A0JRKT8,PHOR,2016-10-14,33.0,RUB
RU000A0JRKT8,PHOR,2017-01-27,39.0,RUB
RU000A0JRKT8,PHOR,2017-06-13,30.0,RUB
RU000A0JRKT8,PHOR,2017-07-17,21.0,RUB
RU000A0JRKT8,PHOR,2017-10-13,24.0,RUB
RU000A0JRKT8,PHOR,2018-03-12,21.0,RUB
RU000A0JRKT8,PHOR,2018-06-13,15.0,RUB
RU000A0JRKT8,PHOR,2018-07-23,24.0,RUB
RU000A0JRKT8,PHOR,2018-10-12,45.0,RUB
RU000A0JRKT8,PHOR,2019-02-04,72.0,RUB
RU000A0JRKT8,PHOR,2019-06-10,51.0,RUB
RU000A0JRKT8,PHOR,2019-07-10,72.0,RUB
RU000A0JRKT8,PHOR,2019-10-15,54.0,RUB
RU000A0JRKT8,PHOR,2020-02-04,48.0,RUB
RU000A0JRKT8,PHOR,2020-06-02,18.0,RUB
RU000A0JRKT8,PHOR,2020-07-06,78.0,RUB
RU000A0JRKT8,PHOR,2020-10-15,33.0,RUB
RU000A0JRKT8,PHOR,2020-12-25,123.0,RUB
RU000A0JRKT8,PHOR,2021-06-07,63.0,RUB
RU000A0JRKT8,PHOR,2021-07-05,105.0,RUB
RU000A0JRKT8,PHOR,2021-09-24,156.0,RUB
RU000A0JRKT8,PHOR,2021-12-20,234.0,RUB
RU000A0JRKT8,PHOR,2022-07-11,390.0,RUB
RU000A0JRKT8,PHOR,2022-10-03,780.0,RUB
RU000A0JRKT8,PHOR,2022-12-19,318.0,RUB
RU000A0JRKT8,PHOR,2023-04-04,465.0,RUB
RU000A0JRKT8,PHOR,2023-07-11,216.0,RUB
RU000A0JRKT8,PHOR,2023-10-11,126.0,RUB
RU000A0JRKT8,PHOR,2023-12-25,291.0,RUB
RU000A0JRKT8,PHOR,2024-07-11,294.0,RUB
RU000A0JVW89,SFIN,2019-06-08,14.5,RUB
RU000A0JVW89,SFIN,2023-12-14,39.42,RUB
RU000A0JVW89,SFIN,2024-06-17,20.6000025833549,RUB
RU000A0JVW89,SFIN,2017-12-26,13.0,RUB
RU000A0JVW89,SFIN,2018-06-08,17.25,RUB
RU000A0JNGA5,UPRO,2018-07-03,0.1110252759795,RUB
RU000A0JNGA5,UPRO,2018-12-18,0.1110252759795,RUB
RU000A0JNGA5,UPRO,2019-06-25,0.111025275979,RUB
RU000A0JNGA5,UPRO,2019-12-15,0.111025275979,RUB
RU000A0JNGA5,UPRO,2020-06-22,0.111025275979,RUB
RU000A0JNGA5,UPRO,2020-12-20,0.111025275979,RUB
RU000A0JNGA5,UPRO,2021-06-22,0.126886029691,RUB
RU000A0JNGA5,UPRO,2021-12-17,0.190329044536,RUB
RU000A0JNGA5,UPRO,2014-07-07,0.38,RUB
RU000A0JNGA5,UPRO,2015-07-07,0.28,RUB
RU000A0JNGA5,UPRO,2016-07-04,0.2,RUB
RU000A0JNGA5,UPRO,2016-12-19,0.12,RUB
RU000A0JNGA5,UPRO,2017-07-04,0.02,RUB
RU000A0JNGA5,UPRO,2017-12-18,0.11,RUB
RU000A0JSE60,RNFT,2019-07-11,0.0,RUB
RU0008958863,MSNG,2014-06-16,0.04,RUB
RU0008958863,MSNG,2015-06-24,0.01,RUB
RU0008958863,MSNG,2016-06-17,0.06,RUB
RU0008958863,MSNG,2017-06-14,0.08,RUB
RU0008958863,MSNG,2018-06-18,0.17,RUB
RU000A0DKVS5,NVTK,2018-10-10,9.25,RUB
RU000A0DKVS5,NVTK,2019-05-06,16.81,RUB
RU000A0DKVS5,NVTK,2019-10-10,14.23,RUB
RU000A0DKVS5,NVTK,2020-05-08,18.1,RUB
RU000A0DKVS5,NVTK,2020-10-12,11.82,RUB
RU000A0DKVS5,NVTK,2021-05-07,23.74,RUB
RU000A0DKVS5,NVTK,2021-10-11,27.67,RUB
RU000A0DKVS5,NVTK,2022-05-05,43.77,RUB
RU000A0DKVS5,NVTK,2022-10-09,45.0,RUB
RU000A0DKVS5,NVTK,2023-05-03,60.58,RUB
RU000A0DKVS5,NVTK,2023-10-10,34.5,RUB
RU000A0DKVS5,NVTK,2024-03-26,44.09,RUB
RU000A0DKVS5,NVTK,2013-09-16,3.4,RUB
RU000A0DKVS5,NVTK,2014-04-29,4.49,RUB
RU000A0DKVS5,NVTK,2014-10-27,5.1,RUB
RU000A0DKVS5,NVTK,2015-05-05,5.2,RUB
RU000A0DKVS5,NVTK,2015-10-06,6.6,RUB
RU000A0DKVS5,NVTK,2016-05-04,6.9,RUB
RU000A0DKVS5,NVTK,2016-10-11,6.9,RUB
RU000A0DKVS5,NVTK,2017-05-02,7.0,RUB
RU000A0DKVS5,NVTK,2017-10-10,6.95,RUB
RU000A0DKVS5,NVTK,2018-05-03,8.0,RUB
RU000A0J2Q06,ROSN,2014-07-08,12.85,RUB
RU000A0J2Q06,ROSN,2015-06-29,8.21,RUB
RU000A0J2Q06,ROSN,2016-06-27,11.75,RUB
RU000A0J2Q06,ROSN,2017-07-03,5.98,RUB
RU000A0J2Q06,ROSN,2017-10-10,3.83,RUB
RU000A0J2Q06,ROSN,2018-07-02,6.65,RUB
RU000A0J2Q06,ROSN,2018-10-09,14.58,RUB
RU000A0J2Q06,ROSN,2019-06-17,11.33,RUB
RU000A0J2Q06,ROSN,2019-10-11,15.34,RUB
RU000A0J2Q06,ROSN,2020-06-15,18.07,RUB
RU000A0J2Q06,ROSN,2021-06-15,6.94,RUB
RU000A0J2Q06,ROSN,2021-10-11,18.03,RUB
RU000A0J2Q06,ROSN,2022-07-11,23.63,RUB
RU000A0J2Q06,ROSN,2023-01-12,20.39,RUB
RU000A0J2Q06,ROSN,2023-07-11,17.97,RUB
RU000A0J2Q06,ROSN,2024-01-11,30.77,RUB
RU000A0J2Q06,ROSN,2024-07-09,29.01,RUB
RU0009033591,TATN,2018-07-06,12.16,RUB
RU0009033591,TATN,2018-10-12,30.27,RUB
RU0009033591,TATN,2019-01-09,22.26,RUB
RU0009033591,TATN,2019-07-05,32.38,RUB
RU0009033591,TATN,2019-09-27,40.11,RUB
RU0009033591,TATN,2019-12-30,24.36,RUB
RU0009033591,TATN,2020-06-30,0.0,RUB
RU0009033591,TATN,2020-10-12,9.94,RUB
RU0009033591,TATN,2021-07-09,12.3,RUB
RU0009033591,TATN,2021-10-12,16.52,RUB
RU0009033591,TATN,2022-01-10,9.98,RUB
RU0009033591,TATN,2022-07-08,16.14,RUB
RU0009033591,TATN,2022-10-11,32.71,RUB
RU0009033591,TATN,2023-01-10,6.86,RUB
RU0009033591,TATN,2023-07-04,27.71,RUB
RU0009033591,TATN,2023-07-11,27.71,RUB
RU0009033591,TATN,2023-10-11,27.54,RUB
RU0009033591,TATN,2024-01-09,35.17,RUB
RU0009033591,TATN,2024-07-04,25.17,RUB
RU0009033591,TATN,2024-07-09,25.17,RUB
RU0009033591,TATN,2014-07-16,8.23,RUB
RU0009033591,TATN,2015-07-15,10.58,RUB
RU0009033591,TATN,2016-06-24,10.96,RUB
RU0009033591,TATN,2016-07-08,10.96,RUB
RU0009033591,TATN,2017-07-07,22.81,RUB
RU0009033591,TATN,2017-12-23,27.78,RUB
RU0006944147,TATNP,2018-07-06,12.16,RUB
RU0006944147,TATNP,2018-10-12,30.27,RUB
RU0006944147,TATNP,2019-01-09,22.26,RUB
RU0006944147,TATNP,2019-07-05,32.38,RUB
RU0006944147,TATNP,2019-09-27,40.11,RUB
RU0006944147,TATNP,2019-12-30,24.36,RUB
RU0006944147,TATNP,2020-06-30,1.0,RUB
RU0006944147,TATNP,2020-10-12,9.94,RUB
RU0006944147,TATNP,2021-07-09,12.3,RUB
RU0006944147,TATNP,2021-10-12,16.52,RUB
RU0006944147,TATNP,2022-01-10,9.98,RUB
